year,RankIC(%),RankICIR,多头超额收益(%),多头信息比,多头超额最大回撤(%),空头超额收益(%),空头信息比,空头超额最大回撤(%),多头年化收益(%),多头年化波动率(%),多头最大回撤(%)
all,-2.73,-2.17,6.52,0.02,-41.99,2.22,-0.16,-60.35,12.26,28.29,-58.69
2025,-3.21,-2.2,-31.83,-0.71,-34.33,43.01,0.82,-16.65,16.65,15.78,-16.96
2024,-3.65,-2.53,3.7,-0.11,-29.06,6.14,-0.22,-34.98,14.66,39.23,-29.64
2023,-2.22,-1.84,13.44,0.5,-6.8,-3.85,-0.29,-14.54,5.4,15.67,-12.98
2022,-2.04,-2.2,10.75,0.31,-13.22,-3.31,-0.3,-18.96,-9.28,23.81,-31.28
2021,-1.32,-1.19,23.33,0.67,-13.79,-15.9,-0.6,-29.57,30.44,17.35,-10.99
2020,-2.47,-2.87,-0.22,-0.18,-19.76,9.87,-0.02,-19.1,23.08,28.86,-18.93
2019,-3.4,-1.97,-1.63,-0.16,-12.11,21.89,0.46,-11.42,28.64,23.84,-21.31
2018,-0.96,-1,5.9,0.08,-15.21,0.5,-0.17,-15.08,-23.65,25.35,-36.79
2017,-2.45,-3.06,-14.77,-0.74,-17.35,20.79,0.99,-6.05,-12.59,17.29,-17.82
2016,-4.02,-3.17,8.66,0.02,-24.29,7.48,-0.1,-18.41,-6.9,36.27,-34.38
2015,-4.57,-2.5,49.04,0.16,-36.55,-23.28,-0.55,-46.82,91.36,66.72,-55.93
